date,tweet
2019-01-22 18:59:13,Time to move to cash. -  https://mailchi.mp/optionalarm.com/the-option-triggers-with-100-667433 … $FB $AMZN $NFLX $AAPL $BABA $TSLA $SPY $SPX $BAC $TLRY $GOOGL $BTC $GS
2019-01-22 18:58:15,$GOOG $GOOGL  https://www.reuters.com/article/us-tech-lobbying/google-spends-big-on-u-s-lobbying-amid-antitrust-bias-battles-idUSKCN1PG2TD?feedType&#61;RSS&feedName&#61;businessNews …
2019-01-22 18:54:23,$GOOGL opening Sweeper catches earnings ..   https://wallstjesus.com/private-twitter/ … pic.twitter.com/qsKnruh3iZ
2019-01-22 18:53:37,"Alphabet CFO: AI requiring less data...  https://seekingalpha.com/news/3424680?source=ansh … $GOOG, $GOOGL"
2019-01-22 18:49:04,$GOOGL w/ a failed B/O... looked promising until today's candle. Look @ 50MA for some potential dynamic support.  pic.twitter.com/fAlj5UYH7A
2019-01-22 18:48:18,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL) #website #news  https://read.bi/2FTyGQs  pic.twitter.com/3i7y7kZEPM"
2019-01-22 18:47:42,"A California girl says her household skilled ‘sheer terror’ after their Nest safety digicam was hacked, warning them of a North Korean missile assault (GOOG, GOOGL)  https://www.carexpo.info/a-california-girl-says-her-household-skilled-sheer-terror-after-their-nest-safety-digicam-was-hacked-warning-them-of-a-north-korean-missile-assault-goog-googl/ … #technologynews"
2019-01-22 18:45:04,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/eaw430nliXU  $RH $AAPL $NFLX $TSLA $AMZN $GOOGL
2019-01-22 18:42:02,Google fined €50 million for GDPR violation in France  https://buff.ly/2WaJOhw  $GOOGL  pic.twitter.com/uh76dwYUa5
2019-01-22 18:36:13,"Alphabet’s X moonshot manufacturing facility simply employed a tech veteran to assist shepherd a ‘new era’ of daring bets (GOOGL, GOOG)  https://www.carexpo.info/alphabets-x-moonshot-manufacturing-facility-simply-employed-a-tech-veteran-to-assist-shepherd-a-new-era-of-daring-bets-googl-goog/ … #technologynews"
2019-01-22 18:33:11,$GOOGL @PureMichigan #SelfDrivingCars #stocks  Google’s Waymo to build self-driving auto factory in Michigan - https://on.mktw.net/2CA3gvj 
2019-01-22 18:32:11,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2FTyGQs "
2019-01-22 18:31:41,Get ready for the #Olympics #Tokyo2020 $SNE #Sony will be closer to $AAPL Apple Market cap and $RKUNY #Rakuten closer to $AMZN Amazon so much unjustified distortion in the market $MS $BAC $LUK $DB $RJF $FB $NFLX $GOOG $GOOGL $ONLN $MAT $BABA $JPM $WMT $JPM pic.twitter.com/dMizcvg71s
2019-01-22 18:31:32,Get ready for the #Olympics #Tokyo2020 $SNE #Sony will be closer to $AAPL Apple Market cap and $RKUNY #Rakuten closer to $AMZN Amazon so much unjustified distortion in the market $MS $BAC $LUK $DB $RJF $FB $NFLX $GOOG $GOOGL $ONLN $MAT $BABA $JPM $WMT $JPM pic.twitter.com/dMizcvg71s
2019-01-22 18:31:27,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2FTyGQs  johnangel1977"
2019-01-22 18:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/3dNW30nliw9  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2019-01-22 18:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/1lwl30nliy2  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2019-01-22 18:29:27,$GOOG $GOOGL Waymo says it will build self-driving cars in Michigan  http://bit.ly/2FSu2T2 
2019-01-22 18:29:24,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2FTyGQs "
2019-01-22 18:28:32,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  http://dlvr.it/QxGRVT "
2019-01-22 18:28:17,"10 Things To Know. A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2FTyGQs "
2019-01-22 18:27:26,"10 things need to knowA California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2Mnpghm "
2019-01-22 18:27:16,"A California woman says her family experienced 'sheer terror' after their Nest security camera was hacked, warning them of a North Korean missile attack (GOOG, GOOGL)  https://read.bi/2T49xWZ "
